"borough","neighborhood","neighborhood_pop","lat","lon"
"Adalar","Burgazada,Adalar","1418","40.88113","29.07024"
"Adalar","Heybeliada,Adalar","3837","40.87682","29.10167"
"Adalar","Kinaliada,Adalar","1731","40.90941","29.05241"
"Adalar","Maden,Adalar","3916","40.875","29.12984"
"Adalar","Nizam,Adalar","3048","40.87501","29.12913"
"Arnavutkoy","Fatih,Arnavutkoy","1971","41.22479","28.70121"
"Arnavutkoy","Hicret,Arnavutkoy","2223","41.1974","28.75783"
"Arnavutkoy","Tayakadin,Arnavutkoy","2253","41.27023","28.69054"
"Arnavutkoy","Adnan Menderes,Arnavutkoy","2875","41.21245","28.70452"
"Arnavutkoy","Maresal Fevzi cakmak,Arnavutkoy","3501","41.20924","28.72213"
"Arnavutkoy","Mehmet Akif Ersoy,Arnavutkoy","4225","41.2008","28.71237"
"Arnavutkoy","Deliklikaya,Arnavutkoy","4610","41.1121","28.65682"
"Arnavutkoy","omerli,Arnavutkoy","4629","41.12149","28.63094"
"Arnavutkoy","Tasoluk,Arnavutkoy","4664","41.19161","28.71337"
"Arnavutkoy","Bolluca,Arnavutkoy","4873","41.19847","28.76644"
"Arnavutkoy","Ataturk,Arnavutkoy","5543","41.1924","28.76026"
"Arnavutkoy","Mavigol,Arnavutkoy","5582","41.20756","28.76035"
"Arnavutkoy","Nenehatun,Arnavutkoy","5946","41.19623","28.73364"
"Arnavutkoy","Haracci,Arnavutkoy","6253","41.18341","28.70326"
"Arnavutkoy","Karlibayir,Arnavutkoy","6509","41.18322","28.71461"
"Arnavutkoy","Bogazkoy İstiklal,Arnavutkoy","6850","41.18543","28.76756"
"Arnavutkoy","İmrahor,Arnavutkoy","6864","41.21549","28.74639"
"Arnavutkoy","Hastane,Arnavutkoy","6909","41.15426","28.61468"
"Arnavutkoy","Yavuz Selim,Arnavutkoy","7396","41.20877","28.73365"
"Arnavutkoy","Mustafa Kemal Pasa,Arnavutkoy","9511","41.18705","28.72891"
"Arnavutkoy","Yunus Emre,Arnavutkoy","10863","41.18497","28.76032"
"Arnavutkoy","Arnavutkoy Merkez,Arnavutkoy","14495","41.18416","28.7413"
"Arnavutkoy","İslambey,Arnavutkoy","14774","41.19334","28.74938"
"Arnavutkoy","Hadimkoy,Arnavutkoy","17016","41.15556","28.62528"
"Arnavutkoy","Anadolu,Arnavutkoy","26250","41.18847","28.75009"
"Atasehir","Asikveysel,Atasehir","9905","41.00813","29.09073"
"Atasehir","Ataturk,Atasehir","25040","40.9918","29.13027"
"Atasehir","Barbaros,Atasehir","23647","40.99294","29.0984"
"Atasehir","Esatpasa,Atasehir","24050","41.00313","29.08527"
"Atasehir","Ferhatpasa,Atasehir","14817","40.98461","29.18164"
"Atasehir","Fetih,Atasehir","9249","41.00544","29.07468"
"Atasehir","İcerenkoy,Atasehir","59174","40.97126","29.11145"
"Atasehir","İnonu,Atasehir","21962","40.97605","29.13899"
"Atasehir","Kayisdagi,Atasehir","32009","40.98114","29.14741"
"Atasehir","Kucukbakkalkoy,Atasehir","23148","40.98302","29.11887"
"Atasehir","Mevlana,Atasehir","13883","40.98719","29.15293"
"Atasehir","Mimar Sinan,Atasehir","6925","40.98433","29.16119"
"Atasehir","Mustafa Kemal,Atasehir","10939","41.00421","29.09366"
"Atasehir","ornek,Atasehir","22724","40.99561","29.07877"
"Atasehir","Yeni camlica,Atasehir","9768","40.99062","29.16377"
"Atasehir","Yenisahra,Atasehir","7696","40.98972","29.089"
"Atasehir","Yenisehir,Atasehir","10103","40.99355","29.14628"
"Avcilar","Ambarli,Avcilar","29013","40.97668","28.71039"
"Avcilar","Cihangir,Avcilar","49117","40.99294","28.69885"
"Avcilar","Denizkoskler,Avcilar","34455","40.97588","28.73635"
"Avcilar","Firuzkoy,Avcilar","17141","41.01204","28.70581"
"Avcilar","Gumuspala,Avcilar","30787","40.98037","28.73725"
"Avcilar","Merkez,Avcilar","24139","40.98374","28.71804"
"Avcilar","Mustafa Kemalpasa,Avcilar","34941","41.0025","28.70362"
"Avcilar","Tahtakale,Avcilar","41120","41.06216","28.73598"
"Avcilar","universite,Avcilar","16383","40.98988","28.72086"
"Avcilar","Yesilkent,Avcilar","47895","41.03699","28.7017"
"Bagcilar","100. Yil,Bagcilar","32532","41.06378","28.84995"
"Bagcilar","15 temmuz,Bagcilar","34960","41.03799","28.81169"
"Bagcilar","Baglar,Bagcilar","12145","41.02528","28.82127"
"Bagcilar","Barbaros,Bagcilar","14861","41.02907","28.83813"
"Bagcilar","cinar,Bagcilar","25354","41.03955","28.86477"
"Bagcilar","Demirkapi,Bagcilar","36866","41.05058","28.83108"
"Bagcilar","Fatih,Bagcilar","29500","41.05267","28.84442"
"Bagcilar","Fevzi cakmak,Bagcilar","23378","41.0429","28.85174"
"Bagcilar","Goztepe,Bagcilar","26824","41.05923","28.83939"
"Bagcilar","Gunesli,Bagcilar","33912","41.04105","28.83172"
"Bagcilar","Hurriyet,Bagcilar","19716","41.02854","28.8352"
"Bagcilar","İnonu,Bagcilar","17204","41.03012","28.85144"
"Bagcilar","Kazim Karabekir,Bagcilar","19812","41.0292","28.8437"
"Bagcilar","Kemalpasa,Bagcilar","23311","41.05118","28.85206"
"Bagcilar","Kirazli,Bagcilar","29657","41.03051","28.83949"
"Bagcilar","Mahmutbey,Bagcilar","17908","41.04958","28.82116"
"Bagcilar","Merkez,Bagcilar","19408","41.03217","28.85749"
"Bagcilar","Sancaktepe,Bagcilar","14142","41.03728","28.85368"
"Bagcilar","Yavuz Selim,Bagcilar","20449","41.0386","28.84842"
"Bagcilar","Yenigun,Bagcilar","15967","41.02375","28.8589"
"Bagcilar","Yenimahalle,Bagcilar","24978","41.04239","28.83577"
"Bagcilar","Yildiztepe,Bagcilar","27189","41.0247","28.85324"
"Bahcelievler","Bahcelievler,Bahcelievler","46620","40.99805","28.84737"
"Bahcelievler","cobancesme,Bahcelievler","24836","41.0032","28.82658"
"Bahcelievler","Cumhuriyet,Bahcelievler","29948","41.01791","28.8583"
"Bahcelievler","Fevzi cakmak,Bahcelievler","18951","41.00315","28.8329"
