"borough","neighborhood","neighborhood_pop"
"Adalar","Burgazada","1418"
"Adalar","Heybeliada","3837"
"Adalar","Kinaliada","1731"
"Adalar","Maden","3916"
"Adalar","Nizam","3048"
"Arnavutkoy","Adnan Menderes","2875"
"Arnavutkoy","Anadolu","26250"
"Arnavutkoy","Arnavutkoy Merkez","14495"
"Arnavutkoy","Ataturk","5543"
"Arnavutkoy","Baklali","704"
"Arnavutkoy","Balaban","412"
"Arnavutkoy","Bogazkoy İstiklal","6850"
"Arnavutkoy","Bolluca","4873"
"Arnavutkoy","Boyalik","580"
"Arnavutkoy","cilingir","829"
"Arnavutkoy","Deliklikaya","4610"
"Arnavutkoy","Dursunkoy","364"
"Arnavutkoy","Durusu","571"
"Arnavutkoy","Fatih","1971"
"Arnavutkoy","Hacimasli","481"
"Arnavutkoy","Hadimkoy","17016"
"Arnavutkoy","Haracci","6253"
"Arnavutkoy","Hastane","6909"
"Arnavutkoy","Hicret","2223"
"Arnavutkoy","İmrahor","6864"
"Arnavutkoy","İslambey","14774"
"Arnavutkoy","Karaburun","1463"
"Arnavutkoy","Karlibayir","6509"
"Arnavutkoy","Maresal Fevzi cakmak","3501"
"Arnavutkoy","Mavigol","5582"
"Arnavutkoy","Mehmet Akif Ersoy","4225"
"Arnavutkoy","Mustafa Kemal Pasa","9511"
"Arnavutkoy","Nenehatun","5946"
"Arnavutkoy","omerli","4629"
"Arnavutkoy","Sazlibosna","883"
"Arnavutkoy","Tasoluk","4664"
"Arnavutkoy","Tayakadin","2253"
"Arnavutkoy","Terkos","734"
"Arnavutkoy","Yassioren","447"
"Arnavutkoy","Yavuz Selim","7396"
"Arnavutkoy","Yenikoy","1204"
"Arnavutkoy","Yesilbayir","478"
"Arnavutkoy","Yunus Emre","10863"
"Atasehir","Asikveysel","9905"
"Atasehir","Ataturk","25040"
"Atasehir","Barbaros","23647"
"Atasehir","Esatpasa","24050"
"Atasehir","Ferhatpasa","14817"
"Atasehir","Fetih","9249"
"Atasehir","İcerenkoy","59174"
"Atasehir","İnonu","21962"
"Atasehir","Kayisdagi","32009"
"Atasehir","Kucukbakkalkoy","23148"
"Atasehir","Mevlana","13883"
"Atasehir","Mimar Sinan","6925"
"Atasehir","Mustafa Kemal","10939"
"Atasehir","ornek","22724"
"Atasehir","Yeni camlica","9768"
"Atasehir","Yenisahra","7696"
"Atasehir","Yenisehir","10103"
"Avcilar","Ambarli","29013"
"Avcilar","Cihangir","49117"
"Avcilar","Denizkoskler","34455"
"Avcilar","Firuzkoy","17141"
"Avcilar","Gumuspala","30787"
"Avcilar","Merkez","24139"
"Avcilar","Mustafa Kemalpasa","34941"
"Avcilar","Tahtakale","41120"
"Avcilar","universite","16383"
"Avcilar","Yesilkent","47895"
"Bagcilar","100. Yil","32532"
"Bagcilar","15 temmuz","34960"
"Bagcilar","Baglar","12145"
"Bagcilar","Barbaros","14861"
"Bagcilar","cinar","25354"
"Bagcilar","Demirkapi","36866"
"Bagcilar","Fatih","29500"
"Bagcilar","Fevzi cakmak","23378"
"Bagcilar","Goztepe","26824"
"Bagcilar","Gunesli","33912"
"Bagcilar","Hurriyet","19716"
"Bagcilar","İnonu","17204"
"Bagcilar","Kazim Karabekir","19812"
"Bagcilar","Kemalpasa","23311"
"Bagcilar","Kirazli","29657"
"Bagcilar","Mahmutbey","17908"
"Bagcilar","Merkez","19408"
"Bagcilar","Sancaktepe","14142"
"Bagcilar","Yavuz Selim","20449"
"Bagcilar","Yenigun","15967"
"Bagcilar","Yenimahalle","24978"
"Bagcilar","Yildiztepe","27189"
"Bahcelievler","Bahcelievler","46620"
"Bahcelievler","cobancesme","24836"
"Bahcelievler","Cumhuriyet","29948"
"Bahcelievler","Fevzi cakmak","18951"
"Bahcelievler","Hurriyet","35663"
"Bahcelievler","Kocasinan Merkez","53111"
"Bahcelievler","sirinevler","47583"
"Bahcelievler","Siyavuspasa","51172"
"Bahcelievler","Soganli","53059"
"Bahcelievler","Yenibosna Merkez","26301"
"Bahcelievler","Zafer","61849"
"Bakirkoy","Atakoy 1. Kisim","1398"
"Bakirkoy","Atakoy 2-5-6. Kisim","11190"
"Bakirkoy","Atakoy 3-4-11. Kisim","6736"
"Bakirkoy","Atakoy 7-8-9-10. Kisim","21187"
"Bakirkoy","Basinkoy","4534"
"Bakirkoy","Cevizlik","4459"
"Bakirkoy","Kartaltepe","30576"
"Bakirkoy","Osmaniye","18904"
"Bakirkoy","Sakizagaci","7161"
"Bakirkoy","senlikkoy","22007"
"Bakirkoy","Yenimahalle","5662"
"Bakirkoy","Yesilkoy","20011"
"Bakirkoy","Yesilyurt","7105"
"Bakirkoy","Zeytinlik","4499"
"Bakirkoy","Zuhuratbaba","18364"
"Basaksehir","Altinsehir","11473"
"Basaksehir","Bahcesehir 1. Kisim","22934"
"Basaksehir","Bahcesehir 2. Kisim","37365"
"Basaksehir","Basak","49899"
"Basaksehir","Basaksehir","44928"
"Basaksehir","Guvercintepe","43507"
"Basaksehir","İkitelli Osb","70"
"Basaksehir","Kayabasi","64773"
"Basaksehir","sahintepe","22249"
"Basaksehir","samlar","885"
"Basaksehir","Ziya Gokalp","19484"
"Bayrampasa","Altintepsi","21884"
"Bayrampasa","Cevatpasa","13970"
"Bayrampasa","İsmet Pasa","11108"
"Bayrampasa","Kartaltepe","33221"
"Bayrampasa","Kocatepe","15628"
"Bayrampasa","Muratpasa","26108"
"Bayrampasa","Orta","11564"
"Bayrampasa","Terazidere","12062"
"Bayrampasa","Vatan","7077"
"Bayrampasa","Yenidogan","14222"
"Bayrampasa","Yildirim","40031"
"Besiktas","Abbasaga","4087"
"Besiktas","Akat","12445"
"Besiktas","Arnavutkoy","3214"
"Besiktas","Balmumcu","2464"
"Besiktas","Bebek","4630"
"Besiktas","Cihannuma","3209"
"Besiktas","Dikilitas","14035"
"Besiktas","Etiler","9348"
"Besiktas","Gayrettepe","11426"
"Besiktas","Konaklar","12240"
"Besiktas","Kultur","4040"
"Besiktas","Kurucesme","2579"
"Besiktas","Levazim","5079"
"Besiktas","Levent","2468"
"Besiktas","Mecidiye","8966"
"Besiktas","Muradiye","4294"
"Besiktas","Nisbetiye","10359"
"Besiktas","Ortakoy","7858"
"Besiktas","Sinanpasa","2024"
"Besiktas","Turkali","8577"
"Besiktas","Ulus","5806"
"Besiktas","Visnezade","5390"
"Besiktas","Yildiz","5400"
"Beykoz","Acarlar","5859"
"Beykoz","Akbaba","2099"
"Beykoz","Alibahadir","574"
"Beykoz","Anadolufeneri","622"
"Beykoz","Anadolu Hisari","2104"
"Beykoz","Anadolu Kavagi","1601"
"Beykoz","Baklaci","2332"
"Beykoz","Bozhane","384"
"Beykoz","camlibahce","4859"
"Beykoz","cengeldere","3785"
"Beykoz","ciftlik","3998"
"Beykoz","cigdem","8925"
"Beykoz","cubuklu","16063"
"Beykoz","Cumhuriyet","1442"
"Beykoz","Dereseki","1260"
"Beykoz","Elmali","2292"
"Beykoz","Fatih","3129"
"Beykoz","Goksu","2304"
"Beykoz","Gollu","194"
"Beykoz","Gorele","1620"
"Beykoz","Goztepe","6982"
"Beykoz","Gumussuyu","10901"
"Beykoz","İncirkoy","13623"
"Beykoz","İshakli","973"
"Beykoz","Kanlica","3389"
"Beykoz","Kavacik","17202"
"Beykoz","Kaynarca","517"
"Beykoz","Kilicli","449"
"Beykoz","Mahmutsevketpasa","1438"
"Beykoz","Merkez","4662"
"Beykoz","ogumce","393"
"Beykoz","ornekkoy","3035"
"Beykoz","Ortacesme","6115"
"Beykoz","Pasabahce","3131"
"Beykoz","Pasamandira","937"
"Beykoz","Polonezkoy","308"
"Beykoz","Poyrazkoy","761"
"Beykoz","Riva","2027"
"Beykoz","Ruzgarlibahce","6075"
"Beykoz","Soguksu","8319"
"Beykoz","Tokatkoy","11503"
"Beykoz","Yalikoy","4152"
"Beykoz","Yavuz Selim","3820"
"Beykoz","Yeni Mahalle","14738"
"Beykoz","Zerzavatci","732"
"Beylikduzu","Adnan Kahveci","73340"
"Beylikduzu","Baris","42404"
"Beylikduzu","Buyuksehir","16731"
"Beylikduzu","Cumhuriyet","17416"
"Beylikduzu","Dereagzi","11526"
"Beylikduzu","Gurpinar","15155"
"Beylikduzu","Kavakli","30930"
"Beylikduzu","Marmara","20766"
"Beylikduzu","Sahil","3776"
"Beylikduzu","Yakuplu","35076"
"Beyoglu","Arap Cami","99"
"Beyoglu","Asmali Mescit","450"
"Beyoglu","Bedrettin","540"
"Beyoglu","Bereketzade","394"
"Beyoglu","Bostan","1659"
"Beyoglu","Bulbul","2649"
"Beyoglu","Camiikebir","2250"
"Beyoglu","catma Mescit","1675"
"Beyoglu","Cihangir","3096"
"Beyoglu","cukur","1766"
"Beyoglu","Emekyemez","169"
