borough,15-19_divorced,15-19_partner_died,15-19_married,15-19_never_married,20-24_divorced,20-24_partner_died,20-24_married,20-24_never_married,25-29_divorced,25-29_partner_died,25-29_married,25-29_never_married,30-34_divorced,30-34_partner_died,30-34_married,30-34_never_married,35-39_divorced,35-39_partner_died,35-39_married,35-39_never_married,40-44_divorced,40-44_partner_died,40-44_married,40-44_never_married,45-49_divorced,45-49_partner_died,45-49_married,45-49_never_married,50-54_divorced,50-54_partner_died,50-54_married,50-54_never_married,55-59_divorced,55-59_partner_died,55-59_married,55-59_never_married,60-64_divorced,60-64_partner_died,60-64_married,60-64_never_married,65-69_divorced,65-69_partner_died,65-69_married,65-69_never_married,70-74_divorced,70-74_partner_died,70-74_married,70-74_never_married,75-79_divorced,75-79_partner_died,75-79_married,75-79_never_married,80-84_divorced,80-84_partner_died,80-84_married,80-84_never_married,85-89_divorced,85-89_partner_died,85-89_married,85-89_never_married,90+_divorced,90+_partner_died,90+_married,90+_never_married
Adalar,0.0,0.0,4,844,2,0.0,55,1014,14,0.0,236,691,52,1,518,481,95,2,661,354,149,7,711,278,175,13,744,223,191,27,764,154,207,44,813,124,221,82,813,108,144,102,706,76,111,159,519,34,53,184,344,27,25,143,176,13,7,125,69,9,5,74,23,2.0
Arnavutkoy,1.0,0.0,476,23960,134,4.0,6660,17757,439,19.0,17414,8711,763,50,22207,3568,1045,107,22496,1753,1060,220,18955,988,881,348,15154,570,618,463,10255,322,502,850,9773,280,312,952,6147,162,212,1103,3936,81,122,1061,2154,51,55,868,974,34,27,645,437,18,18,431,155,5,5,191,22,8.0
Atasehir,0.0,1.0,191,27107,107,1.0,2811,27262,594,18.0,12815,19239,1575,52,22424,10156,2645,115,28594,6114,3439,251,29975,4017,3497,537,27496,2498,2905,727,21227,1346,2219,1247,19114,899,1529,1663,13526,531,918,2098,9624,331,586,2432,6203,222,300,2141,3054,144,149,1649,1307,85,84,1207,495,54,46,697,137,39.0
Avcilar,1.0,0.0,268,27890,131,4.0,4250,25522,612,21.0,14968,17023,1564,45,24912,8570,2457,133,29688,5295,3035,265,29458,3527,3043,521,24943,2124,2466,805,19103,1150,2059,1391,18120,727,1433,1821,12642,412,946,2246,8939,227,498,2311,5226,132,222,1945,2403,62,103,1479,1029,42,44,905,376,14,10,425,87,6.0
Bagcilar,3.0,0.0,437,59664,202,11.0,8725,52140,856,40.0,29690,29241,1780,86,45317,13394,2843,236,52926,7693,3247,451,52013,4636,2957,892,46925,2638,2020,1166,32626,1242,1549,1979,29051,786,912,2339,17209,360,492,2970,11149,253,277,2974,6326,140,119,2372,2894,59,66,1697,1116,41,26,998,346,22,11,514,104,15.0
Bahcelievler,0.0,0.0,227,38984,132,0.0,4681,38723,710,22.0,19732,27680,1836,61,31978,14342,2917,152,37620,8599,3727,333,38401,5724,3737,747,35174,3516,3038,1108,27872,1991,2569,1915,25476,1292,1719,2489,18072,737,1125,3217,12393,417,646,3426,7515,220,289,2895,3772,93,152,2316,1740,54,59,1468,616,31,28,744,148,24.0
Bakirkoy,0.0,0.0,14,11433,35,2.0,413,12004,209,18.0,3637,9403,785,21,8940,5857,1479,52,12852,4119,2072,99,14128,3022,2228,186,12698,2034,2121,342,11024,1493,1898,639,10594,1189,1637,1072,9227,835,1157,1517,7804,547,718,1887,5705,387,388,2116,3363,214,201,2025,1790,144,112,1545,827,71,58,942,235,44.0
Basaksehir,1.0,0.0,277,36802,91,9.0,5098,29534,465,31.0,18208,14561,982,69,28634,5882,1600,128,34300,3157,1933,260,34119,1965,1756,441,28465,1156,1382,525,19344,650,1058,926,15349,433,699,990,9120,244,398,1209,5578,136,246,1242,2998,75,120,1085,1345,44,55,784,573,22,28,506,194,6,11,272,39,10.0
Bayrampasa,0.0,0.0,84,17957,64,0.0,1895,17353,278,12.0,8853,11506,732,19,14483,5456,1312,87,17854,3286,1686,206,18586,2417,1576,367,17337,1553,1287,603,14314,900,994,1022,12711,611,627,1298,9404,314,403,1653,6644,187,218,1816,3718,88,86,1607,1830,37,48,1311,914,29,28,854,306,9,7,373,61,9.0
Besiktas,0.0,0.0,10,7069,16,0.0,228,9240,127,1.0,2250,9702,643,10,6374,6778,1258,33,9316,4495,1944,73,10372,3136,2069,117,9133,1999,2119,216,7756,1399,1823,405,7011,1063,1664,678,6409,708,1223,993,5245,472,861,1433,4272,379,495,1764,2927,234,290,1767,1710,137,161,1451,804,116,86,1011,288,83.0
