"sub_cat","cat"
"Breakfast Spot","fast food"
"Pizza Place","fast food"
"Snack Place","fast food"
"Burger Joint","fast food"
"Soup Place","fast food"
"Food Court","fast food"
"Kofte Place","fast food"
"Fish & Chips Shop","fast food"
"Pide Place","fast food"
"BBQ Joint","fast food"
"Food Truck","fast food"
"Cigkofte Place","fast food"
"Borek Place","fast food"
"Wings Joint","fast food"
"Sandwich Place","fast food"
"Fried Chicken Joint","fast food"
"Pilavcı","fast food"
"Food","fast food"
"Burrito Place","fast food"
"Hot Dog Joint","fast food"
"Food Service","fast food"
"Taco Place","fast food"
"Söğüş Place","fast food"
"Airport Food Court","fast food"
"Food Stand","fast food"
"Street Food Gathering","fast food"
"Dessert Shop","dessert shop"
"Ice Cream Shop","dessert shop"
"Pie Shop","dessert shop"
"Cupcake Shop","dessert shop"
"Chocolate Shop","dessert shop"
"Candy Store","dessert shop"
"Donut Shop","dessert shop"
"Creperie","dessert shop"
"Turkish Restaurant","restaurant"
"Restaurant","restaurant"
"Steakhouse","restaurant"
"Kebab Restaurant","restaurant"
"Seafood Restaurant","restaurant"
"Fast Food Restaurant","restaurant"
"Diner","restaurant"
"Doner Restaurant","restaurant"
"Comfort Food Restaurant","restaurant"
"Middle Eastern Restaurant","restaurant"
"Turkish Home Cooking Restaurant","restaurant"
"Italian Restaurant","restaurant"
"Mediterranean Restaurant","restaurant"
"Kokoreç Restaurant","restaurant"
"Eastern European Restaurant","restaurant"
"American Restaurant","restaurant"
"Sushi Restaurant","restaurant"
"Asian Restaurant","restaurant"
"Manti Place","restaurant"
"Vegetarian / Vegan Restaurant","restaurant"
"Tantuni Restaurant","restaurant"
"Chinese Restaurant","restaurant"
"Modern European Restaurant","restaurant"
"Salad Place","restaurant"
"Greek Restaurant","restaurant"
"French Restaurant","restaurant"
"Halal Restaurant","restaurant"
"Theme Restaurant","restaurant"
"Persian Restaurant","restaurant"
"Afghan Restaurant","restaurant"
"Argentinian Restaurant","restaurant"
"Çöp Şiş Place","restaurant"
"Caucasian Restaurant","restaurant"
"Mexican Restaurant","restaurant"
"African Restaurant","restaurant"
"Thai Restaurant","restaurant"
"Fondue Restaurant","restaurant"
"New American Restaurant","restaurant"
"Bosnian Restaurant","restaurant"
"Lebanese Restaurant","restaurant"
"Indian Restaurant","restaurant"
"Japanese Restaurant","restaurant"
"Latin American Restaurant","restaurant"
"German Restaurant","restaurant"
"Kumpir Restaurant","restaurant"
"Dumpling Restaurant","restaurant"
"Jewish Restaurant","restaurant"
"Russian Restaurant","restaurant"
"Gluten-free Restaurant","restaurant"
"Falafel Restaurant","restaurant"
"Arepa Restaurant","restaurant"
"Syrian Restaurant","restaurant"
"Hawaiian Restaurant","restaurant"
"Dim Sum Restaurant","restaurant"
"English Restaurant","restaurant"
"Korean Restaurant","restaurant"
"Cambodian Restaurant","restaurant"
"Indonesian Restaurant","restaurant"
"Portuguese Restaurant","restaurant"
"Spanish Restaurant","restaurant"
"Australian Restaurant","restaurant"
"Yemeni Restaurant","restaurant"
"Moroccan Restaurant","restaurant"
"Tapas Restaurant","restaurant"
"Austrian Restaurant","restaurant"
"Molecular Gastronomy Restaurant","restaurant"
"Mongolian Restaurant","restaurant"
"Caribbean Restaurant","restaurant"
"Scottish Restaurant","restaurant"
"Scandinavian Restaurant","restaurant"
"Polish Restaurant","restaurant"
"Meze Restaurant","restaurant"
"Swiss Restaurant","restaurant"
"Kumru Restaurant","restaurant"
"Czech Restaurant","restaurant"
"Ramen Restaurant","restaurant"
"Belgian Restaurant","restaurant"
"Vietnamese Restaurant","restaurant"
"Szechuan Restaurant","restaurant"
"Cajun / Creole Restaurant","restaurant"
"Brazilian Restaurant","restaurant"
"Filipino Restaurant","restaurant"
"Peruvian Restaurant","restaurant"
"Café","cafe"
"Coffee Shop","cafe"
"Bar","cafe"
"Tea Room","cafe"
"Hookah Bar","cafe"
"Pub","cafe"
"Meyhane","cafe"
"Beer Garden","cafe"
"Cafeteria","cafe"
"Hotel Bar","cafe"
"Cocktail Bar","cafe"
"Gastropub","cafe"
"Gaming Cafe","cafe"
"Turkish Coffeehouse","cafe"
"Dive Bar","cafe"
"Wine Bar","cafe"
"Brewery","cafe"
"Sports Bar","cafe"
"Whisky Bar","cafe"
"Juice Bar","cafe"
"Karaoke Bar","cafe"
"Irish Pub","cafe"
"Beer Bar","cafe"
"Beach Bar","cafe"
"Internet Cafe","cafe"
"Pet Café","cafe"
"Piano Bar","cafe"
"College Cafeteria","cafe"
"Champagne Bar","cafe"
"Apres Ski Bar","cafe"
"Sake Bar","cafe"
